week,Unnamed: 0,Unnamed: 0.1,distance,time,cumulative_distance,cumulative_time,cumulative_hours,%_of_10000,month,year,distance_km,cumulative_distance_km
120,823,823,5310.0,27.41,2395788.0,14071.499999999996,234.52499999999995,2.336,1,2022,5.31,2395.788
12,483,483,5500.0,30.0,1124199.0,5920.970000000001,98.68283333333335,0.9886949999999992,84,14133,5.5,1124.199
48,2261,2261,6000.0,31.45,5188709.0,29432.640000000007,490.544,4.91064,56,14140,6.0,5188.708999999999
50,2359,2359,6000.0,30.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,63,14140,6.0,5266.708999999999
46,2163,2163,6000.0,30.0,5104309.0,29007.09000000001,483.4515,4.839648333333335,56,14140,6.0,5104.309
37,1722,1722,6200.0,30.0,4745209.0,27138.09000000001,452.30150000000003,4.528148333333333,42,14140,6.2,4745.208999999999
11,434,434,6500.0,35.0,1102199.0,5800.970000000001,96.68283333333335,0.9686949999999992,84,14133,6.5,1102.199
35,1624,1624,7000.0,35.0,4673809.0,26788.09000000001,446.46816666666666,4.4698150000000005,35,14140,7.0,4673.809
136,6524,6524,8470.0,45.2,18916830.0,113227.28999999996,1887.1215000000013,18.780833333333334,28,14154,8.47,18916.829999999998
115,5537,5537,8700.0,60.15,16511090.0,97087.21999999996,1618.1203333333328,16.118333333333332,82,14147,8.7,16511.089999999997
39,1820,1820,8800.0,46.0,4771609.0,27276.09000000001,454.6015,4.551148333333334,42,14140,8.8,4771.6089999999995
91,4347,4347,9340.0,49.64,13165448.0,75163.21999999997,1252.7203333333327,12.555003333333332,42,14147,9.34,13165.447999999999
118,5684,5684,10000.0,58.02,16616290.0,97645.76999999993,1627.4294999999997,16.210666666666665,84,14147,10.0,16616.289999999997
81,3850,3850,10000.0,53.4,10672355.0,59801.610000000015,996.6934999999994,9.989335,28,14147,10.0,10672.355
137,6573,6573,10004.0,72.15,18972654.0,113548.44999999998,1892.4741666666682,18.622,29,14154,10.004,18972.654000000002
1,1,1,10019.0,57.32,15019.0,85.51,1.4251666666666667,0.0142516666666666,20,4038,10.019,15.019
135,6475,6475,10380.0,66.1,18861840.0,112895.49999999997,1881.5916666666678,18.767333333333333,28,14154,10.38,18861.84
103,4942,4942,10420.0,51.53,14957159.0,87835.18999999997,1463.9198333333331,14.587500000000002,63,14147,10.42,14957.159
96,4592,4592,10480.0,52.69,14241768.0,83941.85999999997,1399.0309999999995,13.944166666666666,49,14147,10.48,14241.768
104,4991,4991,11001.0,58.75,15021002.0,88161.68999999997,1469.3614999999995,14.641333333333334,63,14147,11.001000000000001,15021.002
119,5733,5733,11008.0,61.54,16701316.0,98127.54999999997,1635.4591666666665,16.2905,62,14149,11.008,16701.316
47,2212,2212,11200.0,56.3,5177509.0,29374.89000000001,489.5815,4.900948333333333,56,14140,11.2,5177.508999999999
102,4893,4893,11290.0,58.349999999999994,14888769.0,87496.26999999999,1458.271166666666,14.5315,61,14147,11.29,14888.768999999998
54,2555,2555,11510.0,60.0,5323959.0,30131.34000000001,502.18899999999996,5.02749,70,14140,11.51,5323.959
45,2114,2114,11750.0,60.0,5033059.0,28647.09000000001,477.4515,4.779648333333334,56,14140,11.75,5033.059
40,1869,1869,12250.0,61.0,4860059.0,27725.09000000001,462.0848333333333,4.625981666666667,47,14140,12.25,4860.059
44,2065,2065,12500.0,70.0,4947559.0,28207.09000000001,470.11816666666664,4.706315,51,14140,12.5,4947.559
3,84,84,12756.0,67.06,266149.0,1496.54,24.94233333333334,0.2503566666666662,70,14133,12.756,266.14900000000006
94,4494,4494,12820.0,69.46000000000001,14012378.0,82724.60999999997,1378.7434999999996,13.806253333333334,49,14147,12.82,14012.378
105,5040,5040,13561.0,75.38,15113572.0,88664.72999999998,1477.7454999999998,14.724499999999999,63,14147,13.561,15113.572000000002
29,1323,1323,13800.0,76.0,3849949.0,22370.370000000003,372.83949999999993,3.732595,28,14140,13.8,3849.9490000000005
24,1078,1078,15000.0,76.33,3236099.0,18947.620000000003,315.7936666666666,3.1618033333333333,21,14140,15.0,3236.099
100,4788,4788,15000.0,70.10000000000001,14650915.0,86283.96999999997,1438.0661666666663,14.331833333333334,56,14147,15.0,14650.914999999997
108,5187,5187,15000.0,78.88,15494933.0,90752.51999999997,1512.5419999999995,15.069333333333333,70,14147,15.0,15494.932999999999
111,5334,5334,15305.0,87.02000000000001,15959979.0,93709.12999999995,1561.818833333333,15.558833333333332,77,14147,15.305,15959.979
122,5838,5838,15330.0,119.6,17067993.0,100874.62999999998,1681.243833333333,16.746166666666664,7,14154,15.33,17067.993
2,35,35,16032.0,92.84,130282.0,760.1599999999999,12.669333333333332,0.1269599999999998,70,14133,16.032,130.282
87,4144,4144,16720.0,88.22,12054648.0,68462.39,1141.0398333333328,11.435531666666666,35,14147,16.72,12054.647999999997
65,3066,3066,17849.0,107.75999999999999,7196692.0,40365.5,672.7583333333334,6.738183333333334,84,14140,17.849,7196.692000000001
55,2604,2604,17940.0,90.0,5418459.0,30611.34000000001,510.18899999999996,5.107489999999999,70,14140,17.939999999999998,5418.458999999999
113,6212,6212,18508.0,109.85,18563724.0,108981.25999999994,1816.3543333333332,18.093333333333334,88,16168,18.508,18563.724000000002
134,6426,6426,18516.0,118.89999999999999,18745604.0,112198.12999999996,1869.9688333333345,18.651999999999997,28,14154,18.516,18745.603999999996
130,6230,6230,18563.0,132.4,18432343.0,110023.90999999996,1833.7318333333337,18.264000000000003,21,14154,18.563000000000002,18432.343
97,4641,4641,19130.0,108.9,14390638.0,84750.70999999998,1412.511833333333,14.07766666666667,50,14147,19.130000000000003,14390.637999999999
101,5532,5532,19302.0,100.2,16910369.0,99467.59999999999,1657.7933333333326,16.5205,64,16168,19.302,16910.369000000002
80,3801,3801,19431.0,105.49000000000001,10633495.0,59590.31000000001,993.1718333333329,9.953985,25,14147,19.430999999999997,10633.495
15,630,630,19500.0,115.0,1447199.0,8114.140000000001,135.23566666666667,1.3546899999999997,7,14140,19.5,1447.1989999999996
123,5887,5887,19601.0,129.56,17195088.0,101774.05999999997,1696.2343333333329,16.895333333333337,7,14154,19.601,17195.088
34,1796,1796,20000.0,112.61,5277496.0,30275.22000000001,504.58699999999993,5.051403333333334,40,16160,20.0,5277.496
106,5089,5089,20000.0,107.91,15259933.0,89477.16999999997,1491.2861666666663,14.858666666666668,66,14147,20.0,15259.932999999999
107,5138,5138,20000.0,111.09,15399933.0,90248.75999999997,1504.1459999999997,14.98616666666667,70,14147,20.0,15399.932999999999
67,3164,3164,20142.0,116.72,7535063.0,42305.920000000006,705.0986666666666,7.063120000000001,51,14143,20.142000000000003,7535.063000000001
